Experiment	Track	ConvType	Model	Retriever	K	PromptMean	CompletionMean	TotalMean
LC	A	Multi	gpt-4.1-2025-04-14	-	10	0	0	0
LC	A	Multi	gpt-4.1-2025-04-14	-	-1	0	0	0
LC	A	Multi	gpt-4.1-2025-04-14	-	1	0	0	0
LC	A	Multi	llama_3.3_70b	-	1	387	79	466
LC	A	Multi	llama_3.3_70b	-	-1	4961	22	4982
LC	A	Multi	llama_3.3_70b	-	10	1806	40	1846
LC	T	Multi	gpt-4.1-2025-04-14	-	1	0	0	0
LC	T	Multi	gpt-4.1-2025-04-14	-	10	0	0	0
LC	T	Multi	gpt-4.1-2025-04-14	-	-1	0	0	0
LC	T	Multi	llama_3.3_70b	-	1	372	42	414
LC	T	Multi	llama_3.3_70b	-	10	1721	68	1789
LC	T	Multi	llama_3.3_70b	-	-1	4719	4	4723
LC	S	Multi	gpt-4.1-2025-04-14	-	1	0	0	0
LC	F	Multi	gpt-4.1-2025-04-14	-	1	0	0	0
LC	S	Multi	gpt-4.1-2025-04-14	-	-1	0	0	0
LC	S	Multi	gpt-4.1-2025-04-14	-	10	0	0	0
LC	F	Multi	llama_3.3_70b	-	10	1992	56	2049
LC	F	Multi	llama_3.3_70b	-	-1	5551	48	5599
LC	F	Multi	llama_3.3_70b	-	1	393	17	410
LC	F	Uni	gpt-4.1-2025-04-14	-	1	0	0	0
LC	S	Uni	gpt-4.1-2025-04-14	-	1	0	0	0
LC	S	Uni	gpt-4.1-2025-04-14	-	-1	0	0	0
LC	S	Uni	gpt-4.1-2025-04-14	-	10	0	0	0
LC	F	Uni	llama_3.3_70b	-	10	4986	22	5009
LC	F	Uni	llama_3.3_70b	-	1	654	35	689
LC	F	Uni	llama_3.3_70b	-	-1	14617	21	14639
LC	T	Uni	gpt-4.1-2025-04-14	-	10	0	0	0
LC	T	Uni	gpt-4.1-2025-04-14	-	1	0	0	0
LC	T	Uni	gpt-4.1-2025-04-14	-	-1	0	0	0
LC	T	Uni	llama_3.3_70b	-	10	5159	26	5184
LC	T	Uni	llama_3.3_70b	-	1	736	98	834
LC	T	Uni	llama_3.3_70b	-	-1	14984	72	15056
LC	A	Uni	gpt-4.1-2025-04-14	-	1	0	0	0
LC	A	Uni	gpt-4.1-2025-04-14	-	10	0	0	0
LC	A	Uni	gpt-4.1-2025-04-14	-	-1	0	0	0
LC	A	Uni	llama_3.3_70b	-	-1	17100	51	17150
LC	A	Uni	llama_3.3_70b	-	1	737	107	844
LC	A	Uni	llama_3.3_70b	-	10	5812	131	5943
